GCF_001582565.1	ASM158256v1	Legionella pneumophila
GCF_001582615.1	ASM158261v1	Legionella pneumophila
GCF_001582625.1	ASM158262v1	Legionella pneumophila
GCF_001582635.1	ASM158263v1	Legionella pneumophila
GCF_001582645.1	ASM158264v1	Legionella pneumophila
GCF_001582695.1	ASM158269v1	Legionella pneumophila
GCF_001582705.1	ASM158270v1	Legionella pneumophila
GCF_001582715.1	ASM158271v1	Legionella pneumophila
GCF_001582735.1	ASM158273v1	Legionella pneumophila
GCF_001582775.1	ASM158277v1	Legionella pneumophila
GCF_001582785.1	ASM158278v1	Legionella pneumophila
GCF_001582795.1	ASM158279v1	Legionella pneumophila
GCF_001582825.1	ASM158282v1	Legionella pneumophila
GCF_001582855.1	ASM158285v1	Legionella pneumophila
GCF_001582865.1	ASM158286v1	Legionella pneumophila
GCF_001583565.1	ASM158356v1	Legionella pneumophila
GCF_001583575.1	ASM158357v1	Legionella pneumophila
GCF_001583585.1	ASM158358v1	Legionella pneumophila
GCF_001583595.1	ASM158359v1	Legionella pneumophila
GCF_001583645.1	ASM158364v1	Legionella pneumophila
GCF_001583655.1	ASM158365v1	Legionella pneumophila
GCF_001590615.2	ASM159061v2	Legionella pneumophila subsp. pascullei
GCF_001590645.1	ASM159064v1	Legionella pneumophila subsp. pascullei
GCF_001590695.1	ASM159069v1	Legionella pneumophila subsp. pascullei
GCF_001592705.1	ASM159270v1	Legionella pneumophila subsp. pneumophila
GCF_001600895.1	ASM160089v1	Legionella pneumophila
GCF_001600905.1	ASM160090v1	Legionella pneumophila
GCF_001600915.1	ASM160091v1	Legionella pneumophila
GCF_001600925.1	ASM160092v1	Legionella pneumophila
GCF_001600975.1	ASM160097v1	Legionella pneumophila
GCF_001600985.1	ASM160098v1	Legionella pneumophila
GCF_001600995.1	ASM160099v1	Legionella pneumophila
GCF_001601005.1	ASM160100v1	Legionella pneumophila
GCF_001601055.1	ASM160105v1	Legionella pneumophila
GCF_001601075.1	ASM160107v1	Legionella pneumophila
GCF_001601085.1	ASM160108v1	Legionella pneumophila
GCF_001601115.1	ASM160111v1	Legionella pneumophila
GCF_001601135.1	ASM160113v1	Legionella pneumophila
GCF_001601155.1	ASM160115v1	Legionella pneumophila
GCF_001601165.1	ASM160116v1	Legionella pneumophila
GCF_001601175.1	ASM160117v1	Legionella pneumophila
GCF_001601215.1	ASM160121v1	Legionella pneumophila
GCF_001601235.1	ASM160123v1	Legionella pneumophila
GCF_001601245.1	ASM160124v1	Legionella pneumophila
GCF_001601325.1	ASM160132v1	Legionella pneumophila
GCF_001601355.1	ASM160135v1	Legionella pneumophila
GCF_001601375.1	ASM160137v1	Legionella pneumophila
GCF_001601395.1	ASM160139v1	Legionella pneumophila
GCF_001601415.1	ASM160141v1	Legionella pneumophila
GCF_001601425.1	ASM160142v1	Legionella pneumophila
GCF_001601455.1	ASM160145v1	Legionella pneumophila
GCF_001601475.1	ASM160147v1	Legionella pneumophila
GCF_001601485.1	ASM160148v1	Legionella pneumophila
GCF_001601505.1	ASM160150v1	Legionella pneumophila
GCF_001601535.1	ASM160153v1	Legionella pneumophila
GCF_001610735.1	ASM161073v1	Legionella pneumophila
GCF_001639045.1	ASM163904v1	Legionella pneumophila
GCF_001648595.1	ASM164859v1	Legionella bozemanae
GCF_001648605.1	ASM164860v1	Legionella oakridgensis
GCF_001648615.1	ASM164861v1	Legionella feeleii
GCF_001648625.1	ASM164862v1	Tatlockia micdadei
GCF_001648675.1	ASM164867v1	Legionella jordanis
GCF_001648685.1	ASM164868v1	Fluoribacter gormanii
GCF_001652645.1	ASM165264v1	Legionella pneumophila
GCF_001652665.1	ASM165266v1	Legionella pneumophila
GCF_001652685.1	ASM165268v1	Legionella pneumophila
GCF_001677075.2	ASM167707v2	Legionella pneumophila
GCF_001677115.2	ASM167711v2	Legionella pneumophila
GCF_001685545.1	ASM168554v1	Legionella pneumophila serogroup 1
GCF_001685575.1	ASM168557v1	Legionella pneumophila serogroup 1
GCF_001691475.1	ASM169147v1	Legionella jamestowniensis
GCF_001736145.1	ASM173614v1	Legionella parisiensis
GCF_001752705.1	ASM175270v1	Legionella pneumophila
GCF_001752725.1	ASM175272v1	Legionella pneumophila
GCF_001752745.1	ASM175274v1	Legionella pneumophila
GCF_001752765.1	ASM175276v1	Legionella pneumophila
GCF_001752785.1	ASM175278v1	Legionella pneumophila
GCF_001752805.1	ASM175280v1	Legionella pneumophila
GCF_001752825.1	ASM175282v1	Legionella pneumophila
GCF_001752845.1	ASM175284v1	Legionella pneumophila
GCF_001752865.1	ASM175286v1	Legionella pneumophila
GCF_001752885.1	ASM175288v1	Legionella pneumophila
GCF_001752905.1	ASM175290v1	Legionella pneumophila
GCF_001752925.1	ASM175292v1	Legionella pneumophila
GCF_001752945.1	ASM175294v1	Legionella pneumophila
GCF_001752965.1	ASM175296v1	Legionella pneumophila
GCF_001753065.1	ASM175306v1	Legionella pneumophila
GCF_001753085.1	ASM175308v1	Legionella pneumophila
GCF_001753105.1	ASM175310v1	Legionella pneumophila
GCF_001753125.1	ASM175312v1	Legionella pneumophila
GCF_001753145.1	ASM175314v1	Legionella pneumophila
GCF_001753265.1	ASM175326v1	Legionella pneumophila
GCF_001753285.1	ASM175328v1	Legionella pneumophila
GCF_001753305.1	ASM175330v1	Legionella pneumophila
GCF_001753325.1	ASM175332v1	Legionella pneumophila
GCF_001753345.1	ASM175334v1	Legionella pneumophila
GCF_001753365.1	ASM175336v1	Legionella pneumophila
GCF_001753385.1	ASM175338v1	Legionella pneumophila
GCF_001753405.1	ASM175340v1	Legionella pneumophila
GCF_001766275.1	ASM176627v1	Legionella pneumophila subsp. pneumophila
GCF_001766295.1	ASM176629v1	Legionella pneumophila subsp. pneumophila
GCF_001766315.1	ASM176631v1	Legionella pneumophila subsp. pneumophila
GCF_001766335.1	ASM176633v1	Legionella pneumophila subsp. pneumophila
GCF_001766355.1	ASM176635v1	Legionella pneumophila subsp. pneumophila
GCF_001766375.1	ASM176637v1	Legionella pneumophila subsp. pneumophila
GCF_001886795.1	ASM188679v1	Legionella pneumophila subsp. fraseri
GCF_001886835.1	ASM188683v1	Legionella pneumophila subsp. fraseri
GCF_001941585.1	ASM194158v1	Legionella pneumophila
GCF_001969405.1	ASM196940v1	Legionella pneumophila
GCF_001989475.1	ASM198947v1	Legionella pneumophila
GCF_001997245.1	ASM199724v1	Legionella pneumophila subsp. pneumophila ATCC 43290
GCF_002002625.1	ASM200262v1	Legionella pneumophila subsp. pneumophila str. Mississauga
GCF_002002645.1	ASM200264v1	Legionella pneumophila subsp. pneumophila str. Sudbury
GCF_002073455.2	ASM207345v2	Legionella longbeachae
GCF_002082905.2	ASM208290v2	Legionella anisa
GCF_002082955.2	ASM208295v2	Legionella pneumophila subsp. pneumophila
GCF_002085715.1	ASM208571v1	Tatlockia micdadei
GCF_002085735.1	ASM208573v1	Tatlockia micdadei
GCF_002113845.3	ASM211384v3	Legionella longbeachae
GCF_002240035.1	ASM224003v1	Legionella clemsonensis
GCF_002776555.1	ASM277655v1	Legionella endosymbiont of Polyplax serrata
GCF_002813715.1	ASM281371v1	Legionella pneumophila
GCF_002813735.1	ASM281373v1	Legionella pneumophila
GCF_002848365.2	ASM284836v2	Legionella sainthelensi
GCF_002934165.1	ASM293416v1	Legionella pneumophila
GCF_002934185.1	ASM293418v1	Legionella pneumophila
GCF_002934205.1	ASM293420v1	Legionella pneumophila
GCF_002967055.1	ASM296705v1	Legionella pneumophila
GCF_003003515.1	ASM300351v1	Legionella pneumophila
GCF_003003535.1	ASM300353v1	Legionella pneumophila
GCF_003003555.1	ASM300355v1	Legionella pneumophila
GCF_003003595.1	ASM300359v1	Legionella pneumophila subsp. fraseri
GCF_003003675.1	ASM300367v1	Legionella pneumophila subsp. fraseri
GCF_003003755.1	ASM300375v1	Legionella pneumophila subsp. fraseri
GCF_003003815.1	ASM300381v1	Legionella pneumophila subsp. pneumophila
GCF_003003865.1	ASM300386v1	Legionella pneumophila subsp. fraseri
GCF_003003955.1	ASM300395v1	Legionella pneumophila subsp. fraseri
GCF_003004065.1	ASM300406v1	Legionella pneumophila
GCF_003004115.1	ASM300411v1	Legionella pneumophila subsp. pascullei
GCF_003004135.1	ASM300413v1	Legionella pneumophila subsp. pneumophila
GCF_003004155.1	ASM300415v1	Legionella pneumophila subsp. pneumophila
GCF_003004175.1	ASM300417v1	Legionella pneumophila subsp. pneumophila
GCF_003004195.1	ASM300419v1	Legionella pneumophila
GCF_003004215.1	ASM300421v1	Legionella pneumophila subsp. fraseri
GCF_003004235.1	ASM300423v1	Legionella pneumophila
GCF_003004255.1	ASM300425v1	Legionella pneumophila subsp. fraseri
GCF_003004275.1	ASM300427v1	Legionella pneumophila subsp. pneumophila
GCF_003004295.1	ASM300429v1	Legionella pneumophila subsp. pneumophila
GCF_003004315.1	ASM300431v1	Legionella pneumophila subsp. pneumophila
GCF_003004335.1	ASM300433v1	Legionella pneumophila
GCF_003070625.1	ASM307062v1	Legionella taurinensis
GCF_003070645.1	ASM307064v1	Legionella taurinensis
GCF_003070665.1	ASM307066v1	Legionella taurinensis
GCF_003070675.1	ASM307067v1	Legionella taurinensis
GCF_003176875.1	ASM317687v1	Legionella anisa
GCF_003184185.1	ASM318418v1	Legionella qingyii
GCF_003205035.1	ASM320503v1	Legionella pneumophila
GCF_003205045.1	ASM320504v1	Legionella pneumophila
GCF_003205055.1	ASM320505v1	Legionella pneumophila
GCF_003205065.1	ASM320506v1	Legionella pneumophila
GCF_003205115.1	ASM320511v1	Legionella pneumophila
GCF_003205135.1	ASM320513v1	Legionella pneumophila
GCF_003205155.1	ASM320515v1	Legionella pneumophila
GCF_003205175.1	ASM320517v1	Legionella pneumophila
GCF_003265995.1	ASM326599v1	Legionella quinlivanii
GCF_003345615.1	ASM334561v1	Legionella pneumophila
GCF_003345635.1	ASM334563v1	Legionella pneumophila
GCF_003602125.1	ASM360212v1	Legionella taurinensis
GCF_003602175.1	ASM360217v1	Legionella taurinensis
GCF_003605815.1	WS17_LgA.1_n_l_OLDA	Legionella pneumophila subsp. pneumophila
GCF_003605825.1	L08A.1_n_l_OLDA	Legionella pneumophila subsp. pneumophila
GCF_003605835.1	L04A.1_n_l_OLDA	Legionella pneumophila subsp. pneumophila
GCF_003605875.1	L05B.1_n_l_OLDA	Legionella pneumophila subsp. pneumophila
GCF_003605895.1	L02C.1_n_l_OLDA	Legionella pneumophila subsp. pneumophila
GCF_003605915.1	L03B.1_n_l_OLDA	Legionella pneumophila subsp. pneumophila
GCF_003605925.1	L09A.1_n_l_OLDA	Legionella pneumophila subsp. pneumophila
GCF_003605955.1	L01C.1_n_l_OLDA	Legionella pneumophila subsp. pneumophila
GCF_003703415.1	ASM370341v1	Legionella jordanis
GCF_003703435.1	ASM370343v1	Legionella jordanis
GCF_003989735.1	ASM398973v1	Legionella sp. km772
GCF_003989745.1	ASM398974v1	Legionella septentrionalis
GCF_003990055.1	ASM399005v1	Legionella septentrionalis
GCF_003990085.1	ASM399008v1	Legionella sp. km535
GCF_003990115.1	ASM399011v1	Legionella septentrionalis
GCF_003990125.1	ASM399012v1	Legionella qingyii
GCF_003990155.1	ASM399015v1	Legionella qingyii
GCF_003990275.1	ASM399027v1	Legionella septentrionalis
GCF_004136915.1	ASM413691v1	Legionella pneumophila
GCF_004136945.1	ASM413694v1	Legionella pneumophila
GCF_004137115.1	ASM413711v1	Legionella pneumophila
GCF_004137125.1	ASM413712v1	Legionella pneumophila
GCF_004137145.1	ASM413714v1	Legionella pneumophila
GCF_004137185.1	ASM413718v1	Legionella pneumophila
GCF_004137195.1	ASM413719v1	Legionella pneumophila
GCF_004137425.1	ASM413742v1	Legionella pneumophila
GCF_004137445.1	ASM413744v1	Legionella pneumophila
GCF_004137465.1	ASM413746v1	Legionella pneumophila
GCF_004137475.1	ASM413747v1	Legionella pneumophila
GCF_004137485.1	ASM413748v1	Legionella pneumophila
GCF_004137525.1	ASM413752v1	Legionella pneumophila
GCF_004137535.1	ASM413753v1	Legionella pneumophila
GCF_004137565.1	ASM413756v1	Legionella pneumophila
GCF_004137575.1	ASM413757v1	Legionella pneumophila
GCF_004137585.1	ASM413758v1	Legionella pneumophila
GCF_004137595.1	ASM413759v1	Legionella pneumophila
GCF_004137635.1	ASM413763v1	Legionella pneumophila
GCF_004168945.1	ASM416894v1	Legionella pneumophila
GCF_004168955.1	ASM416895v1	Legionella pneumophila
GCF_004168965.1	ASM416896v1	Legionella pneumophila
GCF_004168975.1	ASM416897v1	Legionella pneumophila
GCF_004168985.1	ASM416898v1	Legionella pneumophila
GCF_004169045.1	ASM416904v1	Legionella pneumophila
GCF_004169055.1	ASM416905v1	Legionella pneumophila
GCF_004169065.1	ASM416906v1	Legionella pneumophila
GCF_004169085.1	ASM416908v1	Legionella pneumophila
GCF_004169095.1	ASM416909v1	Legionella pneumophila
GCF_004169145.1	ASM416914v1	Legionella pneumophila
GCF_004169155.1	ASM416915v1	Legionella pneumophila
GCF_004169165.1	ASM416916v1	Legionella pneumophila
GCF_004169185.1	ASM416918v1	Legionella pneumophila
GCF_004169195.1	ASM416919v1	Legionella pneumophila
GCF_004169245.1	ASM416924v1	Legionella pneumophila
GCF_004169255.1	ASM416925v1	Legionella pneumophila
GCF_004169285.1	ASM416928v1	Legionella pneumophila
GCF_004169295.1	ASM416929v1	Legionella pneumophila
GCF_004169325.1	ASM416932v1	Legionella pneumophila
GCF_004169335.1	ASM416933v1	Legionella pneumophila
GCF_004169345.1	ASM416934v1	Legionella pneumophila
GCF_004169385.1	ASM416938v1	Legionella pneumophila
GCF_004169395.1	ASM416939v1	Legionella pneumophila
GCF_004169425.1	ASM416942v1	Legionella pneumophila
GCF_004169435.1	ASM416943v1	Legionella pneumophila
GCF_004169445.1	ASM416944v1	Legionella pneumophila
GCF_004169485.1	ASM416948v1	Legionella pneumophila
GCF_004169495.1	ASM416949v1	Legionella pneumophila
GCF_004169525.1	ASM416952v1	Legionella pneumophila
GCF_004169535.1	ASM416953v1	Legionella pneumophila
GCF_004169545.1	ASM416954v1	Legionella pneumophila
GCF_004169585.1	ASM416958v1	Legionella pneumophila
GCF_004169595.1	ASM416959v1	Legionella pneumophila
GCF_004169605.1	ASM416960v1	Legionella pneumophila
GCF_004169625.1	ASM416962v1	Legionella pneumophila
GCF_004169635.1	ASM416963v1	Legionella pneumophila
GCF_004169685.1	ASM416968v1	Legionella pneumophila
GCF_004169695.1	ASM416969v1	Legionella pneumophila
GCF_004169715.1	ASM416971v1	Legionella pneumophila
GCF_004169725.1	ASM416972v1	Legionella pneumophila
GCF_004169765.1	ASM416976v1	Legionella pneumophila
GCF_004169775.1	ASM416977v1	Legionella pneumophila
GCF_004169785.1	ASM416978v1	Legionella pneumophila
GCF_004169795.1	ASM416979v1	Legionella pneumophila
GCF_004169805.1	ASM416980v1	Legionella pneumophila
GCF_004169865.1	ASM416986v1	Legionella pneumophila
GCF_004169875.1	ASM416987v1	Legionella pneumophila
GCF_004169885.1	ASM416988v1	Legionella pneumophila
GCF_004169905.1	ASM416990v1	Legionella pneumophila
GCF_004169925.1	ASM416992v1	Legionella pneumophila
GCF_004169965.1	ASM416996v1	Legionella pneumophila
GCF_004169975.1	ASM416997v1	Legionella pneumophila
GCF_004169985.1	ASM416998v1	Legionella pneumophila
GCF_004169995.1	ASM416999v1	Legionella pneumophila
